# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-10-06 06:14:12 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01104500 CHARLES RIVER AT WALTHAM, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01104500
#            TS   parameter     statistic     Description
#         64222       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	64222_00060_00003	64222_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01104500	1931-08-04	45.0	A
USGS	01104500	1931-08-05	38.0	A
USGS	01104500	1931-08-06	38.0	A
USGS	01104500	1931-08-07	42.0	A
USGS	01104500	1931-08-08	54.0	A
USGS	01104500	1931-08-09	40.0	A
USGS	01104500	1931-08-10	41.0	A
USGS	01104500	1931-08-11	40.0	A
USGS	01104500	1931-08-12	97.0	A
USGS	01104500	1931-08-13	146	A
USGS	01104500	1931-08-14	148	A
USGS	01104500	1931-08-15	157	A
USGS	01104500	1931-08-16	193	A
USGS	01104500	1931-08-17	193	A
USGS	01104500	1931-08-18	189	A
USGS	01104500	1931-08-19	163	A
USGS	01104500	1931-08-20	148	A
USGS	01104500	1931-08-21	137	A
USGS	01104500	1931-08-22	129	A
USGS	01104500	1931-08-23	114	A
USGS	01104500	1931-08-24	81.0	A
USGS	01104500	1931-08-25	81.0	A
USGS	01104500	1931-08-26	81.0	A
USGS	01104500	1931-08-27	107	A
USGS	01104500	1931-08-28	122	A
USGS	01104500	1931-08-29	119	A
USGS	01104500	1931-08-30	119	A
USGS	01104500	1931-08-31	124	A
USGS	01104500	1931-09-01	122	A
USGS	01104500	1931-09-02	119	A
USGS	01104500	1931-09-03	116	A
USGS	01104500	1931-09-04	114	A
USGS	01104500	1931-09-05	114	A
USGS	01104500	1931-09-06	112	A
USGS	01104500	1931-09-07	101	A
USGS	01104500	1931-09-08	75.0	A
USGS	01104500	1931-09-09	75.0	A
USGS	01104500	1931-09-10	77.0	A
USGS	01104500	1931-09-11	75.0	A
USGS	01104500	1931-09-12	75.0	A
USGS	01104500	1931-09-13	74.0	A
USGS	01104500	1931-09-14	54.0	A
USGS	01104500	1931-09-15	37.0	A
USGS	01104500	1931-09-16	37.0	A
USGS	01104500	1931-09-17	37.0	A
USGS	01104500	1931-09-18	40.0	A
USGS	01104500	1931-09-19	47.0	A
USGS	01104500	1931-09-20	57.0	A
USGS	01104500	1931-09-21	57.0	A
USGS	01104500	1931-09-22	57.0	A
USGS	01104500	1931-09-23	57.0	A
USGS	01104500	1931-09-24	56.0	A
USGS	01104500	1931-09-25	56.0	A
USGS	01104500	1931-09-26	57.0	A
USGS	01104500	1931-09-27	56.0	A
USGS	01104500	1931-09-28	56.0	A
USGS	01104500	1931-09-29	50.0	A
USGS	01104500	1931-09-30	37.0	A
USGS	01104500	1931-10-01	38.0	A
USGS	01104500	1931-10-02	37.0	A
USGS	01104500	1931-10-03	38.0	A
USGS	01104500	1931-10-04	29.0	A
USGS	01104500	1931-10-05	37.0	A
USGS	01104500	1931-10-06	37.0	A
USGS	01104500	1931-10-07	36.0	A
USGS	01104500	1931-10-08	33.0	A
USGS	01104500	1931-10-09	38.0	A
USGS	01104500	1931-10-10	39.0	A
USGS	01104500	1931-10-11	1.00	A
USGS	01104500	1931-10-12	30.0	A
USGS	01104500	1931-10-13	32.0	A
USGS	01104500	1931-10-14	31.0	A
USGS	01104500	1931-10-15	32.0	A
USGS	01104500	1931-10-16	39.0	A
USGS	01104500	1931-10-17	40.0	A
USGS	01104500	1931-10-18	3.00	A
USGS	01104500	1931-10-19	38.0	A
USGS	01104500	1931-10-20	38.0	A
USGS	01104500	1931-10-21	38.0	A
USGS	01104500	1931-10-22	38.0	A
USGS	01104500	1931-10-23	39.0	A
USGS	01104500	1931-10-24	41.0	A
USGS	01104500	1931-10-25	41.0	A
USGS	01104500	1931-10-26	33.0	A
USGS	01104500	1931-10-27	33.0	A
USGS	01104500	1931-10-28	36.0	A
USGS	01104500	1931-10-29	45.0	A
USGS	01104500	1931-10-30	76.0	A
USGS	01104500	1931-10-31	79.0	A
USGS	01104500	1931-11-01	34.0	A
USGS	01104500	1931-11-02	35.0	A
USGS	01104500	1931-11-03	41.0	A
USGS	01104500	1931-11-04	68.0	A
USGS	01104500	1931-11-05	98.0	A
USGS	01104500	1931-11-06	88.0	A
USGS	01104500	1931-11-07	59.0	A
USGS	01104500	1931-11-08	13.0	A
USGS	01104500	1931-11-09	31.0	A
USGS	01104500	1931-11-10	36.0	A
USGS	01104500	1931-11-11	32.0	A
USGS	01104500	1931-11-12	38.0	A
USGS	01104500	1931-11-13	36.0	A
USGS	01104500	1931-11-14	38.0	A
USGS	01104500	1931-11-15	28.0	A
USGS	01104500	1931-11-16	39.0	A
USGS	01104500	1931-11-17	30.0	A
USGS	01104500	1931-11-18	32.0	A
USGS	01104500	1931-11-19	32.0	A
USGS	01104500	1931-11-20	33.0	A
USGS	01104500	1931-11-21	36.0	A
USGS	01104500	1931-11-22	25.0	A
USGS	01104500	1931-11-23	30.0	A
USGS	01104500	1931-11-24	31.0	A
USGS	01104500	1931-11-25	35.0	A
USGS	01104500	1931-11-26	25.0	A
USGS	01104500	1931-11-27	38.0	A
USGS	01104500	1931-11-28	41.0	A
USGS	01104500	1931-11-29	27.0	A
USGS	01104500	1931-11-30	32.0	A
USGS	01104500	1931-12-01	29.0	A
USGS	01104500	1931-12-02	38.0	A
USGS	01104500	1931-12-03	38.0	A
USGS	01104500	1931-12-04	38.0	A
USGS	01104500	1931-12-05	49.0	A
USGS	01104500	1931-12-06	55.0	A
USGS	01104500	1931-12-07	50.0	A
USGS	01104500	1931-12-08	60.0	A
USGS	01104500	1931-12-09	60.0	A
USGS	01104500	1931-12-10	86.0	A
USGS	01104500	1931-12-11	96.0	A
USGS	01104500	1931-12-12	94.0	A
USGS	01104500	1931-12-13	94.0	A
USGS	01104500	1931-12-14	92.0	A
USGS	01104500	1931-12-15	81.0	A
USGS	01104500	1931-12-16	53.0	A
USGS	01104500	1931-12-17	48.0	A
USGS	01104500	1931-12-18	89.0	A
USGS	01104500	1931-12-19	98.0	A
USGS	01104500	1931-12-20	96.0	A
USGS	01104500	1931-12-21	94.0	A
USGS	01104500	1931-12-22	92.0	A
USGS	01104500	1931-12-23	78.0	A
USGS	01104500	1931-12-24	44.0	A
USGS	01104500	1931-12-25	48.0	A
USGS	01104500	1931-12-26	90.0	A
USGS	01104500	1931-12-27	105	A
USGS	01104500	1931-12-28	101	A
USGS	01104500	1931-12-29	98.0	A
USGS	01104500	1931-12-30	94.0	A
USGS	01104500	1931-12-31	92.0	A
USGS	01104500	1932-01-01	92.0	A
USGS	01104500	1932-01-02	98.0	A
USGS	01104500	1932-01-03	96.0	A
USGS	01104500	1932-01-04	130	A
USGS	01104500	1932-01-05	256	A
USGS	01104500	1932-01-06	245	A
USGS	01104500	1932-01-07	167	A
USGS	01104500	1932-01-08	162	A
USGS	01104500	1932-01-09	289	A
USGS	01104500	1932-01-10	280	A
USGS	01104500	1932-01-11	276	A
USGS	01104500	1932-01-12	276	A
USGS	01104500	1932-01-13	280	A
USGS	01104500	1932-01-14	280	A
USGS	01104500	1932-01-15	289	A
USGS	01104500	1932-01-16	301	A
USGS	01104500	1932-01-17	301	A
USGS	01104500	1932-01-18	301	A
USGS	01104500	1932-01-19	301	A
USGS	01104500	1932-01-20	297	A
USGS	01104500	1932-01-21	293	A
USGS	01104500	1932-01-22	285	A
USGS	01104500	1932-01-23	280	A
USGS	01104500	1932-01-24	276	A
USGS	01104500	1932-01-25	276	A
USGS	01104500	1932-01-26	276	A
USGS	01104500	1932-01-27	280	A
USGS	01104500	1932-01-28	280	A
USGS	01104500	1932-01-29	285	A
USGS	01104500	1932-01-30	285	A
USGS	01104500	1932-01-31	276	A
USGS	01104500	1932-02-01	285	A
USGS	01104500	1932-02-02	272	A
